name,date,quantity,id
Alstroemeria,2018-02-28,942,MAWF41331798929462
Alstroemeria,2018-02-27,1028,MAWF41331798929462
Alstroemeria,2018-02-26,1540,MAWF41331798929462
Alstroemeria,2018-02-25,1093,MAWF41331798929462
Alstroemeria,2018-02-24,2099,MAWF41331798929462
Alstroemeria,2018-02-23,2359,MAWF41331798929462
Alstroemeria,2018-02-22,1825,MAWF41331798929462
Alstroemeria,2018-02-21,1294,MAWF41331798929462
Alstroemeria,2018-02-20,1256,MAWF41331798929462
Alstroemeria,2018-02-19,1216,MAWF41331798929462
Alstroemeria,2018-02-18,782,MAWF41331798929462
Alstroemeria,2018-02-17,1014,MAWF41331798929462
Alstroemeria,2018-02-16,1224,MAWF41331798929462
Alstroemeria,2018-02-15,1171,MAWF41331798929462
Alstroemeria,2018-02-14,1392,MAWF41331798929462
Alstroemeria,2018-02-13,1141,MAWF41331798929462
Alstroemeria,2018-02-12,994,MAWF41331798929462
Alstroemeria,2018-02-11,802,MAWF41331798929462
Alstroemeria,2018-02-10,2027,MAWF41331798929462
Alstroemeria,2018-02-09,2455,MAWF41331798929462
Alstroemeria,2018-02-08,1712,MAWF41331798929462
Alstroemeria,2018-02-07,1349,MAWF41331798929462
Alstroemeria,2018-02-06,1150,MAWF41331798929462
Alstroemeria,2018-02-05,1170,MAWF41331798929462
Alstroemeria,2018-02-04,1061,MAWF41331798929462
Alstroemeria,2018-02-03,2223,MAWF41331798929462
Alstroemeria,2018-02-02,2437,MAWF41331798929462
Alstroemeria,2018-02-01,1806,MAWF41331798929462
Alstroemeria,2018-01-31,1284,MAWF41331798929462
Alstroemeria,2018-01-30,1196,MAWF41331798929462
Alstroemeria,2018-01-29,1217,MAWF41331798929462
Alstroemeria,2018-01-28,987,MAWF41331798929462
Alstroemeria,2018-01-27,1937,MAWF41331798929462
Alstroemeria,2018-01-26,2391,MAWF41331798929462
Alstroemeria,2018-01-25,1859,MAWF41331798929462
Alstroemeria,2018-01-24,1129,MAWF41331798929462
Alstroemeria,2018-01-23,1277,MAWF41331798929462
Alstroemeria,2018-01-22,1233,MAWF41331798929462
Alstroemeria,2018-01-21,958,MAWF41331798929462
Alstroemeria,2018-01-20,2029,MAWF41331798929462
Alstroemeria,2018-01-19,2227,MAWF41331798929462
Alstroemeria,2018-01-18,1768,MAWF41331798929462
Alstroemeria,2018-01-17,1260,MAWF41331798929462
Alstroemeria,2018-01-16,1130,MAWF41331798929462
Alstroemeria,2018-01-15,1019,MAWF41331798929462
Alstroemeria,2018-01-14,1073,MAWF41331798929462
Alstroemeria,2018-01-13,2431,MAWF41331798929462
Alstroemeria,2018-01-12,2234,MAWF41331798929462
Alstroemeria,2018-01-11,1666,MAWF41331798929462
Alstroemeria,2018-01-10,1431,MAWF41331798929462
Alstroemeria,2018-01-09,1495,MAWF41331798929462
Alstroemeria,2018-01-08,682,MAWF41331798929462
Alstroemeria,2018-01-07,1039,MAWF41331798929462
Alstroemeria,2018-01-06,2088,MAWF41331798929462
Alstroemeria,2018-01-05,2519,MAWF41331798929462
Alstroemeria,2018-01-04,1971,MAWF41331798929462
Alstroemeria,2018-01-03,1485,MAWF41331798929462
Alstroemeria,2018-01-02,1509,MAWF41331798929462
Alstroemeria,2018-01-01,598,MAWF41331798929462
Alstroemeria,2017-12-31,1316,MAWF41331798929462
Alstroemeria,2017-12-30,800,MAWF41331798929462
Alstroemeria,2017-12-29,1149,MAWF41331798929462
Alstroemeria,2017-12-28,1131,MAWF41331798929462
Alstroemeria,2017-12-27,782,MAWF41331798929462
Alstroemeria,2017-12-26,274,MAWF41331798929462
Alstroemeria,2017-12-24,955,MAWF41331798929462
Alstroemeria,2017-12-23,1249,MAWF41331798929462
Alstroemeria,2017-12-22,1527,MAWF41331798929462
Alstroemeria,2017-12-21,1563,MAWF41331798929462
Alstroemeria,2017-12-20,1058,MAWF41331798929462
Alstroemeria,2017-12-19,884,MAWF41331798929462
Alstroemeria,2017-12-18,941,MAWF41331798929462
Alstroemeria,2017-12-17,611,MAWF41331798929462
Alstroemeria,2017-12-16,1126,MAWF41331798929462
Alstroemeria,2017-12-15,1338,MAWF41331798929462
Alstroemeria,2017-12-14,1437,MAWF41331798929462
Alstroemeria,2017-12-13,1373,MAWF41331798929462
Alstroemeria,2017-12-12,997,MAWF41331798929462
Alstroemeria,2017-12-11,923,MAWF41331798929462
Alstroemeria,2017-12-10,526,MAWF41331798929462
Alstroemeria,2017-12-09,1673,MAWF41331798929462
Alstroemeria,2017-12-08,2090,MAWF41331798929462
Alstroemeria,2017-12-07,1845,MAWF41331798929462
Alstroemeria,2017-12-06,1394,MAWF41331798929462
Alstroemeria,2017-12-05,1447,MAWF41331798929462
Alstroemeria,2017-12-04,1632,MAWF41331798929462
Alstroemeria,2017-12-03,1075,MAWF41331798929462
Alstroemeria,2017-12-02,2392,MAWF41331798929462
Alstroemeria,2017-12-01,2941,MAWF41331798929462
Alstroemeria,2017-11-30,2397,MAWF41331798929462
Alstroemeria,2017-11-29,1604,MAWF41331798929462
Alstroemeria,2017-11-28,1637,MAWF41331798929462
Alstroemeria,2017-11-27,1753,MAWF41331798929462
Alstroemeria,2017-11-26,1218,MAWF41331798929462
Alstroemeria,2017-11-25,2500,MAWF41331798929462
Alstroemeria,2017-11-24,3240,MAWF41331798929462
Alstroemeria,2017-11-23,2482,MAWF41331798929462
Alstroemeria,2017-11-22,1855,MAWF41331798929462
Alstroemeria,2017-11-21,1676,MAWF41331798929462
Alstroemeria,2017-11-20,1794,MAWF41331798929462
Alstroemeria,2017-11-19,1368,MAWF41331798929462
Alstroemeria,2017-11-18,2628,MAWF41331798929462
Alstroemeria,2017-11-17,3237,MAWF41331798929462
Alstroemeria,2017-11-16,2674,MAWF41331798929462
Alstroemeria,2017-11-15,1735,MAWF41331798929462
Alstroemeria,2017-11-14,1651,MAWF41331798929462
Alstroemeria,2017-11-13,1698,MAWF41331798929462
Alstroemeria,2017-11-12,1416,MAWF41331798929462
Alstroemeria,2017-11-11,3157,MAWF41331798929462
Alstroemeria,2017-11-10,3190,MAWF41331798929462
Alstroemeria,2017-11-09,2516,MAWF41331798929462
Alstroemeria,2017-11-08,1886,MAWF41331798929462
Alstroemeria,2017-11-07,1692,MAWF41331798929462
Alstroemeria,2017-11-06,1677,MAWF41331798929462
Alstroemeria,2017-11-05,1388,MAWF41331798929462
Alstroemeria,2017-11-04,2953,MAWF41331798929462
Alstroemeria,2017-11-03,3645,MAWF41331798929462
Alstroemeria,2017-11-02,2868,MAWF41331798929462
Alstroemeria,2017-11-01,1834,MAWF41331798929462
Alstroemeria,2017-10-31,1882,MAWF41331798929462
Alstroemeria,2017-10-30,1815,MAWF41331798929462
Alstroemeria,2017-10-29,1483,MAWF41331798929462
Alstroemeria,2017-10-28,3116,MAWF41331798929462
Alstroemeria,2017-10-27,3384,MAWF41331798929462
Alstroemeria,2017-10-26,2771,MAWF41331798929462
Alstroemeria,2017-10-25,1992,MAWF41331798929462
Alstroemeria,2017-10-24,1907,MAWF41331798929462
Alstroemeria,2017-10-23,1788,MAWF41331798929462
Alstroemeria,2017-10-22,1385,MAWF41331798929462
Alstroemeria,2017-10-21,2665,MAWF41331798929462
Alstroemeria,2017-10-20,3297,MAWF41331798929462
Alstroemeria,2017-10-19,2541,MAWF41331798929462
Alstroemeria,2017-10-18,1870,MAWF41331798929462
Alstroemeria,2017-10-17,1749,MAWF41331798929462
Alstroemeria,2017-10-16,1593,MAWF41331798929462
Alstroemeria,2017-10-11,1652,MAWF41331798929462
Alstroemeria,2017-10-10,1709,MAWF41331798929462
Alstroemeria,2017-10-09,1632,MAWF41331798929462
Alstroemeria,2017-10-08,1227,MAWF41331798929462
Alstroemeria,2017-10-07,2643,MAWF41331798929462
Alstroemeria,2017-10-06,3069,MAWF41331798929462
Alstroemeria,2017-10-05,2414,MAWF41331798929462
Alstroemeria,2017-10-04,1713,MAWF41331798929462
Alstroemeria,2017-10-03,1553,MAWF41331798929462
Alstroemeria,2017-10-02,0,MAWF41331798929462
Alstroemeria,2017-09-30,2627,MAWF41331798929462
Alstroemeria,2017-09-29,3115,MAWF41331798929462
Alstroemeria,2017-09-28,2270,MAWF41331798929462
Alstroemeria,2017-09-27,1632,MAWF41331798929462
Alstroemeria,2017-09-26,1562,MAWF41331798929462
Alstroemeria,2017-09-25,1644,MAWF41331798929462
Alstroemeria,2017-09-20,1453,MAWF41331798929462
Alstroemeria,2017-09-19,1348,MAWF41331798929462
Alstroemeria,2017-09-18,1407,MAWF41331798929462
Alstroemeria,2017-09-17,1193,MAWF41331798929462
Alstroemeria,2017-09-16,2136,MAWF41331798929462
Alstroemeria,2017-09-15,2481,MAWF41331798929462
Alstroemeria,2017-09-14,1983,MAWF41331798929462
Alstroemeria,2017-09-13,1469,MAWF41331798929462
Alstroemeria,2017-09-12,1398,MAWF41331798929462
Alstroemeria,2017-09-11,1287,MAWF41331798929462
Alstroemeria,2017-09-10,1059,MAWF41331798929462
Alstroemeria,2017-09-09,2238,MAWF41331798929462
Alstroemeria,2017-09-08,2386,MAWF41331798929462
Alstroemeria,2017-09-07,2102,MAWF41331798929462
Alstroemeria,2017-09-06,1522,MAWF41331798929462
Alstroemeria,2017-09-05,1458,MAWF41331798929462
Alstroemeria,2017-09-04,1433,MAWF41331798929462
Alstroemeria,2017-09-03,1224,MAWF41331798929462
Alstroemeria,2017-09-02,2116,MAWF41331798929462
Alstroemeria,2017-09-01,2659,MAWF41331798929462
Alstroemeria,2017-08-31,2300,MAWF41331798929462
Alstroemeria,2017-08-30,1692,MAWF41331798929462
Alstroemeria,2017-08-29,1713,MAWF41331798929462
Alstroemeria,2017-08-28,1297,MAWF41331798929462
Alstroemeria,2017-08-27,1182,MAWF41331798929462
Alstroemeria,2017-08-26,2452,MAWF41331798929462
Alstroemeria,2017-08-25,2889,MAWF41331798929462
Alstroemeria,2017-08-24,2274,MAWF41331798929462
Alstroemeria,2017-08-23,1672,MAWF41331798929462
Alstroemeria,2017-08-22,1436,MAWF41331798929462
Alstroemeria,2017-08-21,1623,MAWF41331798929462
Alstroemeria,2017-08-20,1200,MAWF41331798929462
Alstroemeria,2017-08-19,2308,MAWF41331798929462
Alstroemeria,2017-08-18,2837,MAWF41331798929462
Alstroemeria,2017-08-17,2403,MAWF41331798929462
Alstroemeria,2017-08-16,1645,MAWF41331798929462
Alstroemeria,2017-08-15,1412,MAWF41331798929462
Alstroemeria,2017-08-14,1536,MAWF41331798929462
Alstroemeria,2017-08-13,1251,MAWF41331798929462
Alstroemeria,2017-08-12,2385,MAWF41331798929462
Alstroemeria,2017-08-11,2875,MAWF41331798929462
Alstroemeria,2017-08-10,2157,MAWF41331798929462
Alstroemeria,2017-08-09,1528,MAWF41331798929462
Alstroemeria,2017-08-08,1604,MAWF41331798929462
Alstroemeria,2017-08-07,1600,MAWF41331798929462
Alstroemeria,2017-08-06,1059,MAWF41331798929462
Alstroemeria,2017-08-05,2144,MAWF41331798929462
Alstroemeria,2017-08-04,2606,MAWF41331798929462
Alstroemeria,2017-08-03,2074,MAWF41331798929462
Alstroemeria,2017-08-02,1369,MAWF41331798929462
Alstroemeria,2017-08-01,1289,MAWF41331798929462
Alstroemeria,2017-07-31,1426,MAWF41331798929462
Alstroemeria,2017-07-30,1017,MAWF41331798929462
Alstroemeria,2017-07-29,2250,MAWF41331798929462
Alstroemeria,2017-07-28,2587,MAWF41331798929462
Alstroemeria,2017-07-27,2143,MAWF41331798929462
Alstroemeria,2017-07-26,1470,MAWF41331798929462
Alstroemeria,2017-07-25,1344,MAWF41331798929462
Alstroemeria,2017-07-24,1531,MAWF41331798929462
Alstroemeria,2017-07-23,1365,MAWF41331798929462
Alstroemeria,2017-07-22,2756,MAWF41331798929462
Alstroemeria,2017-07-21,3034,MAWF41331798929462
Alstroemeria,2017-07-20,2851,MAWF41331798929462
Alstroemeria,2017-07-19,1923,MAWF41331798929462
Alstroemeria,2017-07-18,1479,MAWF41331798929462
Alstroemeria,2017-07-17,1539,MAWF41331798929462
Alstroemeria,2017-07-16,1177,MAWF41331798929462
Alstroemeria,2017-07-15,2557,MAWF41331798929462
Alstroemeria,2017-07-14,2945,MAWF41331798929462
Alstroemeria,2017-07-13,2323,MAWF41331798929462
Alstroemeria,2017-07-12,1546,MAWF41331798929462
Alstroemeria,2017-07-11,1527,MAWF41331798929462
Alstroemeria,2017-07-10,1483,MAWF41331798929462
Alstroemeria,2017-07-09,1149,MAWF41331798929462
Alstroemeria,2017-07-08,2632,MAWF41331798929462
Alstroemeria,2017-07-07,2892,MAWF41331798929462
Alstroemeria,2017-07-06,2393,MAWF41331798929462
Alstroemeria,2017-07-05,1515,MAWF41331798929462
Alstroemeria,2017-07-04,1644,MAWF41331798929462
Alstroemeria,2017-07-03,1685,MAWF41331798929462
Alstroemeria,2017-07-02,1266,MAWF41331798929462
Alstroemeria,2017-07-01,2755,MAWF41331798929462
Alstroemeria,2017-06-30,3155,MAWF41331798929462
Alstroemeria,2017-06-29,2573,MAWF41331798929462
Alstroemeria,2017-06-28,1825,MAWF41331798929462
Alstroemeria,2017-06-27,1642,MAWF41331798929462
Alstroemeria,2017-06-26,1856,MAWF41331798929462
Alstroemeria,2017-06-25,1443,MAWF41331798929462
Alstroemeria,2017-06-24,2779,MAWF41331798929462
Alstroemeria,2017-06-23,3153,MAWF41331798929462
Alstroemeria,2017-06-22,2867,MAWF41331798929462
Alstroemeria,2017-06-21,1797,MAWF41331798929462
Alstroemeria,2017-06-20,1603,MAWF41331798929462
Alstroemeria,2017-06-19,1880,MAWF41331798929462
Alstroemeria,2017-06-18,1529,MAWF41331798929462
